latitude,longitude
40.66024629154761,-73.99686789392906
40.79136558416264,-73.97196021837362
40.74002985665779,-73.815800767956
40.690257180804906,-73.92086994242919
40.82057799887241,-73.84893743805434
40.72142345046995,-73.9952492104475
40.75788239403403,-73.92012332752982
40.623915208356365,-73.95569294976235
40.61254768064719,-74.11154260757391
40.685069961027786,-73.76237460283924
40.84880167603808,-73.924640999371
40.716087996817315,-73.9520004056764
40.81192092694447,-73.94546662834728
40.678160222628065,-73.95466467721297
40.75399482914434,-73.9856330633054
40.7715588834402,-73.95444233292501
40.87475824310007,-73.8622800956592
40.66900817113869,-73.87873083291242
40.74381832540971,-73.88107835916607
40.59308968206555,-73.78971714162185
