,event_name,event_date,venue_name,venue_location,longitude,latitude
0,Femme Fatale,2025-04-16,New York,New York,-73.9840245,40.7258559
1,The Living Tombstone (16 & Over),2025-10-07,New York,New York,-73.989098000,40.731602000
2,DJ Shu-G,2025-04-25,New York,New York,-74.0050445,40.7284733
3,2 Years of It's A Secret,2025-03-28,New York,New York,-73.9840245,40.7258559
4,Goose @ MSG After-Party with Rivka Ruth and Friends,2025-06-28,New York,New York,-73.9903775,40.7442495
5,The Party,2025-04-10,New York,New York,-73.9840245,40.7258559
6,Of the Sun,2025-03-29,New York,New York,-73.9840245,40.7258559
7,Deer Park,2025-04-03,New York,New York,-73.9840245,40.7258559
8,Addison Groove Project,2025-04-05,New York,New York,-73.9843144,40.7253238
9,High Energy Theory,2025-04-05,New York,New York,-73.9840245,40.7258559
